,mean_abs_shap
ema_8,0.0011296889
ema_18,0.00021621119
volume_zscore_10,0.00017095468
log_return_1,0.0001155216
atr_ratio_10,9.86984e-05
return_autocorr_5,9.495641e-05
macd_histogram,7.387843e-05
volume_ratio_10,6.614551e-05
return_autocorr_10,6.5531305e-05
simple_return_1,6.270502e-05
rolling_volatility_20,6.268235e-05
atr_10,6.155109e-05
obv,6.002992e-05
log_return_5,5.8830035e-05
momentum_factor_20,5.7763613e-05
rolling_volatility_10,5.3729145e-05
ema_crossover_8_18,5.1557086e-05
log_return_10,2.9861538e-05
rsi_10,2.2608756e-05
trend_position_15,2.2489592e-05
confirmed_fractal_high_2,1.083742e-05
confirmed_fractal_low_2,5.2139317e-06
rolling_return_5,2.4744427e-06
macd_line,1.0751771e-06
return_autocorr_1,0.0
rolling_return_1,0.0
rolling_return_10,0.0
macd_signal,0.0
momentum_factor_10,0.0
volatility_regime_20,0.0
volatility_regime_10,0.0
liquidity_sweep_high_15,0.0
liquidity_sweep_low_15,0.0
higher_high_15,0.0
lower_low_15,0.0
trend_structure_15,0.0
